0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 67, 0, 53, 0, 6, 0, 0, 34
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 31, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 26, 0, 0, 0, 0, 0, 0, 8, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 34, 0, 73, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 12, 0, 64, 0, 3, 0, 0, 0, 7, 0, 0, 16, 57
0, 0, 0, 0, 0, 0, 99, 16, 0, 0, 0, 0, 23, 77, 0, 0, 42, 0, 0, 0
0, 0, 0, 0, 0, 99, 0, 32, 0, 0, 28, 0, 0, 0, 0, 0, 4, 0, 0, 0
0, 0, 0, 0, 12, 16, 32, 0, 0, 0, 0, 0, 90, 0, 0, 89, 0, 61, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 11, 0, 19, 0
0, 0, 39, 0, 64, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 26, 0, 0, 0, 28, 0, 0, 13, 0, 92, 0, 17, 0, 0, 0, 0, 38, 0
0, 43, 0, 0, 3, 0, 0, 0, 0, 0, 92, 0, 98, 0, 0, 69, 0, 0, 0, 78
67, 0, 0, 51, 0, 23, 0, 90, 74, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 17, 0, 0, 0, 0, 7, 61, 0, 44, 0
53, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 47
0, 0, 0, 0, 7, 0, 0, 89, 0, 0, 0, 69, 0, 7, 15, 0, 0, 65, 0, 0
6, 0, 0, 73, 0, 42, 4, 0, 11, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0
0, 31, 8, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 14
0, 0, 0, 0, 16, 0, 0, 0, 19, 0, 38, 0, 0, 44, 0, 0, 0, 0, 0, 60
34, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 78, 0, 0, 47, 0, 0, 14, 60, 0
